unit	class	families	line
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,brahmapurana,harivamsa,kirfel,padmapurana,vayu	manvantarāṇāṃ saṃhāraḥ saṃhārānte ca sambhavaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	devatānāmṛṣīṇāṃ ca manoḥ pitṛgaṇasya ca
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,kirfel,lingapurana,matsyapurana,vayu	manvantarasya saṃkhyā ca mānuṣeṇa prakīrtitā
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,lingapurana,vayu	manvantarāṇāṃ sarveṣāmetadeva ca lakṣaṇam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,matsyapurana,vayu	atītānāgatānāṃ ca varttamānena kīrttyate
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	tathā manvantarāṇāṃ ca pratisandhānalakṣaṇam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,matsyapurana,padmapurana,vayu	atītānāgatānāṃ ca proktaṃ svāyambhuve'ntare
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	manvantareṣu devānāṃ prajeśānāṃ ca kīrttanam
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,brahmapurana,harivamsa,kirfel,sivapurana,vayu	dakṣasya cāpi dauhitrāḥ priyāyā duhituḥ sutāḥ
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,kirfel,vayu	brahmādibhiste janitā dakṣeṇaiva ca dhīmatā
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	sāvarṇādyāśca kīrttyante manavo merumāśritāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,harivamsa,vayu	pātrāṇāṃ payasāṃ caiva vaṃśānāṃ ca viśeṣaṇam
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,brahmapurana,harivamsa,kirfel,kurmapurana,vayu,visnupurana	daśabhyastu pracetebhyo māriṣāyāṃ prajāpateḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	dakṣasya kīrttyate janma somasyāṃśena dhīmataḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	bhūtabhavyabhaveśatvaṃ mahendrāṇāṃ ca kīrttyate
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	manvādikā bhaviṣyanti ākhyānairbahubhirvṛtāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	brahmaśukrāt samutpattirbhṛgvādīnāṃ ca kīrtyate
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	vinivṛtte prajāsarge cākṣuṣasya manoḥ śubhe
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,kirfel,lingapurana,matsyapurana,padmapurana,vayu	nāradaḥ priyasaṃvādī dakṣaputrānmahābalān
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	nāśayāmāsa śāpāya ātmano brahmaṇaḥ sutaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	agnipurana,brahmandapurana,nrsimhapurana,vayu	tato dakṣo'sṛjat kanyā vīriṇyāmeva viśrutāḥ
